,,coef
NFATC2IP,cnv_amp,0.0
ATXN7L3,mut_important,1.222980050563649e-16
ATXN7L3,cnv_del,0.0
ATXN7L3,cnv_amp,0.0
CYP4F22,mut_important,9.525713551283843e-14
CYP4F22,cnv_del,0.0
CYP4F22,cnv_amp,0.0
PLXNA2,mut_important,-1.0880185641326534e-14
PLXNA2,cnv_del,-7.646661082105766e-15
PLXNA2,cnv_amp,-1.0286910212542466e-15
PDE1A,mut_important,0.0
PDE1A,cnv_del,9.121592370320286e-13
PDE1A,cnv_amp,-6.394884621840902e-14
CRNKL1,mut_important,-2.536165721878092e-15
CRNKL1,cnv_del,0.0
CRNKL1,cnv_amp,0.0
TM9SF3,mut_important,0.0
TM9SF3,cnv_del,0.0
TM9SF3,cnv_amp,0.0
HAUS6,mut_important,-3.878675158830447e-12
HAUS6,cnv_del,-3.6504133049675147e-13
HAUS6,cnv_amp,1.4761525335416081e-12
LTV1,mut_important,-2.6950663922775675e-14
LTV1,cnv_del,9.325873406851315e-15
LTV1,cnv_amp,7.09432512735475e-14
ZBTB7B,mut_important,0.0
ZBTB7B,cnv_del,0.0
ZBTB7B,cnv_amp,0.0
BEST3,mut_important,0.0
BEST3,cnv_del,0.0
BEST3,cnv_amp,0.0
PPP1R2,mut_important,0.0
PPP1R2,cnv_del,0.0
PPP1R2,cnv_amp,0.0
CPEB3,mut_important,0.0
CPEB3,cnv_del,0.0
CPEB3,cnv_amp,0.0
FABP6,mut_important,-9.625633623500107e-14
FABP6,cnv_del,0.0
FABP6,cnv_amp,8.01581023779363e-14
MOGAT3,mut_important,0.0
MOGAT3,cnv_del,8.992806499463768e-15
MOGAT3,cnv_amp,1.1812772982011666e-13
SLC25A22,mut_important,-2.1788126858268697e-13
SLC25A22,cnv_del,-2.9309887850104133e-13
SLC25A22,cnv_amp,-2.4513724383723456e-13
CNPY4,mut_important,0.0
CNPY4,cnv_del,0.0
CNPY4,cnv_amp,0.0
TMOD2,mut_important,-9.26342336171615e-15
TMOD2,cnv_del,0.0
TMOD2,cnv_amp,0.0
RPL7,mut_important,4.5130565951012613e-14
RPL7,cnv_del,0.0
RPL7,cnv_amp,-6.288303211476887e-13
TRIML2,mut_important,0.0
TRIML2,cnv_del,0.0
TRIML2,cnv_amp,0.0
DSG2,mut_important,1.6697754290362354e-13
DSG2,cnv_del,0.0
DSG2,cnv_amp,0.0
DHX30,mut_important,0.0
DHX30,cnv_del,0.0
DHX30,cnv_amp,0.0
CAPZA3,mut_important,4.698463840213662e-13
CAPZA3,cnv_del,0.0
CAPZA3,cnv_amp,0.0
DEDD,mut_important,0.0
DEDD,cnv_del,0.0
DEDD,cnv_amp,0.0
SH2D3A,mut_important,0.0
SH2D3A,cnv_del,0.0
SH2D3A,cnv_amp,0.0
ARHGEF7,mut_important,2.067790383364354e-15
ARHGEF7,cnv_del,0.0
ARHGEF7,cnv_amp,0.0
PNKP,mut_important,5.484501741648273e-14
PNKP,cnv_del,0.0
PNKP,cnv_amp,0.0
LPP,mut_important,0.0
LPP,cnv_del,0.0
LPP,cnv_amp,0.0
APBA3,mut_important,-1.056932319443149e-13
APBA3,cnv_del,0.0
APBA3,cnv_amp,0.0
NME9,mut_important,0.0
NME9,cnv_del,0.0
NME9,cnv_amp,0.0
