,coef
R-HSA-8941326,3.3499212
R-HSA-8941332,0.039495666
R-HSA-8941333,-1.2030783e-06
R-HSA-8877330,0.055949118
R-HSA-8931987,0.4035469
R-HSA-8934593,1.7502537
R-HSA-8935964,0.019881055
R-HSA-8936459,1.9539509
R-HSA-8939236,1.2612127
R-HSA-8939242,0.14461073
R-HSA-8939243,2.119011
R-HSA-8939245,-0.011368352
R-HSA-8939246,0.067335084
R-HSA-8939247,0.08143519
R-HSA-8939256,0.17530039
R-HSA-888568,0.0
R-HSA-888593,0.0
R-HSA-916853,0.0
R-HSA-9024909,7.399541e-15
R-HSA-9025046,8.4697117e-19
R-HSA-9026357,1.4578204e-14
R-HSA-9026519,0.0005607046
R-HSA-9026527,4.2666916e-06
R-HSA-9028335,-0.00030832173
R-HSA-9028731,8.41133e-09
R-HSA-9032500,1.8859396e-07
R-HSA-9032845,1.17781865e-05
R-HSA-9017802,-1.0481345e-09
R-HSA-9018676,-8.494999e-14
R-HSA-9018681,-1.1203536e-14
R-HSA-9018682,-7.077302e-13
R-HSA-9020265,-2.5579387e-12
R-HSA-9026395,0.0
R-HSA-9018896,8.67478e-15
R-HSA-9023661,1.1731076e-11
R-HSA-9025094,-5.6958236e-14
R-HSA-9025106,-6.273487e-18
R-HSA-9034013,-6.74291e-20
R-HSA-9034793,3.0465475e-05
R-HSA-9034864,0.0076500815
R-HSA-9603381,-0.008461089
R-HSA-9603505,-2.7099718e-09
R-HSA-167060,-5.470987e-17
R-HSA-912694,0.015946511
R-HSA-977068,-0.0028926623
R-HSA-964739,-3.58358e-15
R-HSA-975576,1.17098686e-07
R-HSA-977441,1.553949e-20
R-HSA-977442,-3.3450426e-17
R-HSA-977444,5.6265856e-07
R-HSA-75205,1.9807171e-08
R-HSA-75892,5.4204654e-09
R-HSA-111452,1.2275821e-15
R-HSA-111453,8.30743e-12
R-HSA-111457,-2.1110086e-16
R-HSA-114294,-2.125963e-12
R-HSA-75108,-1.3957618e-20
R-HSA-110312,8.097264e-05
R-HSA-110320,-1.4946617e-12
R-HSA-5655862,0.00026202982
R-HSA-5656121,7.263205e-05
R-HSA-5656169,0.0073476257
R-HSA-112303,-4.5138192e-29
R-HSA-181429,1.4906124e-12
R-HSA-181430,-1.0741336e-15
R-HSA-210500,6.5428235e-13
R-HSA-212676,-1.4932377e-07
R-HSA-264642,7.223579e-08
R-HSA-210455,1.9204843e-11
R-HSA-112308,2.4396362e-14
R-HSA-426048,4.7967082e-17
R-HSA-1433617,-1.32521424e-11
R-HSA-1300642,-4.0267773e-13
R-HSA-1300644,3.4455318e-06
R-HSA-1300645,0.0
R-HSA-1300652,3.6521413e-08
R-HSA-2534343,0.0
R-HSA-1250196,0.16930382
R-HSA-1251932,9.312273e-13
R-HSA-1306955,2.3535872e-06
R-HSA-1963640,0.023722151
R-HSA-1963642,0.10814456
R-HSA-6785631,0.03824714
R-HSA-8847993,0.20206861
R-HSA-1250342,0.16079378
R-HSA-1250347,0.20620346
R-HSA-1251985,0.18030517
R-HSA-1253288,0.022181913
R-HSA-198323,0.059265878
R-HSA-198693,0.0068650558
R-HSA-381340,0.0003243777
R-HSA-5682910,-6.7789193e-13
R-HSA-1170546,0.014005744
R-HSA-982772,-0.0390914
R-HSA-198933,-7.9882795e-11
R-HSA-2132295,3.2671058
R-HSA-392517,0.00019150408
R-HSA-8851680,1.088834e-07
R-HSA-1296025,-9.196029e-17
R-HSA-1296053,2.8528146e-13
R-HSA-1296067,5.0224146e-28
R-HSA-1296052,0.00012692712
R-HSA-1296061,5.7127236e-05
R-HSA-1296072,0.0030169482
R-HSA-1299287,0.0
R-HSA-1299308,-2.929224e-20
R-HSA-1299316,0.0
R-HSA-1299344,1.6373806e-12
R-HSA-1299361,0.0
R-HSA-1299503,0.0
R-HSA-2395516,-1.6270189e-18
R-HSA-140834,1.0478693e-14
R-HSA-140837,5.892722e-06
R-HSA-140875,0.0024660926
R-HSA-1475029,0.000106252475
R-HSA-2564830,5.6978103e-12
R-HSA-71737,-4.4386776e-05
R-HSA-1433559,7.9954634e-07
R-HSA-1442490,1.503686e-10
R-HSA-1592389,0.064059675
R-HSA-1566977,8.128068e-15
R-HSA-216083,0.12138691
R-HSA-3000157,1.6855588
R-HSA-3000178,0.7081364
R-HSA-8941237,2.918412e-16
R-HSA-1237044,1.4100533e-08
R-HSA-1247673,7.1026974e-05
