,,coef
DRD3,mut_important,-0.0008333096
DRD3,cnv_del,0.0008415771
DRD3,cnv_amp,0.00083536754
PDIA6,mut_important,0.023701545
PDIA6,cnv_del,0.07046509
PDIA6,cnv_amp,0.06060967
CLDN6,mut_important,9.1404105e-15
CLDN6,cnv_del,-2.3893992e-17
CLDN6,cnv_amp,2.416261e-13
FOXD2,mut_important,0.0
FOXD2,cnv_del,0.0
FOXD2,cnv_amp,0.0
FDPS,mut_important,7.326634e-15
FDPS,cnv_del,-7.556926e-16
FDPS,cnv_amp,-1.5187977e-12
BTG1,mut_important,0.0
BTG1,cnv_del,0.0
BTG1,cnv_amp,0.0
NCOA1,mut_important,0.12312177
NCOA1,cnv_del,0.008313487
NCOA1,cnv_amp,0.046572823
MN1,mut_important,0.0
MN1,cnv_del,0.0
MN1,cnv_amp,0.0
FBLIM1,mut_important,0.0
FBLIM1,cnv_del,0.0
FBLIM1,cnv_amp,0.0
GTPBP10,mut_important,0.0
GTPBP10,cnv_del,0.0
GTPBP10,cnv_amp,0.0
GNG2,mut_important,-0.027420437
GNG2,cnv_del,0.049900018
GNG2,cnv_amp,-0.009781066
ARGLU1,mut_important,0.0
ARGLU1,cnv_del,0.0
ARGLU1,cnv_amp,0.0
TSPYL5,mut_important,0.0
TSPYL5,cnv_del,0.0
TSPYL5,cnv_amp,0.0
GDAP2,mut_important,0.0
GDAP2,cnv_del,0.0
GDAP2,cnv_amp,0.0
SMARCB1,mut_important,0.00012961248
SMARCB1,cnv_del,-0.00030052091
SMARCB1,cnv_amp,-0.00048060704
TMOD1,mut_important,-1.3725298e-24
TMOD1,cnv_del,4.6706694e-25
TMOD1,cnv_amp,-4.9314535e-23
CCDC134,mut_important,0.0
CCDC134,cnv_del,0.0
CCDC134,cnv_amp,0.0
SNRPG,mut_important,-0.00034157073
SNRPG,cnv_del,0.0015884773
SNRPG,cnv_amp,0.005503998
PHTF1,mut_important,0.0
PHTF1,cnv_del,0.0
PHTF1,cnv_amp,0.0
PDE7B,mut_important,0.0
PDE7B,cnv_del,0.0
PDE7B,cnv_amp,0.0
SNX6,mut_important,0.0
SNX6,cnv_del,0.0
SNX6,cnv_amp,0.0
DEDD,mut_important,0.0
DEDD,cnv_del,0.0
DEDD,cnv_amp,0.0
SCEL,mut_important,0.0
SCEL,cnv_del,0.0
SCEL,cnv_amp,0.0
TMEM64,mut_important,0.0
TMEM64,cnv_del,0.0
TMEM64,cnv_amp,0.0
SPSB4,mut_important,5.9314712e-05
SPSB4,cnv_del,0.015319509
SPSB4,cnv_amp,0.30798844
COX7A2,mut_important,0.0
COX7A2,cnv_del,0.0
COX7A2,cnv_amp,0.0
PREX2,mut_important,0.075430624
PREX2,cnv_del,-0.00021080209
PREX2,cnv_amp,0.030527165
TMEM190,mut_important,0.0
TMEM190,cnv_del,0.0
TMEM190,cnv_amp,0.0
TUBB2B,mut_important,-0.003178156
TUBB2B,cnv_del,0.04143902
TUBB2B,cnv_amp,0.013329135
NDUFAF2,mut_important,0.0
NDUFAF2,cnv_del,1.3970048e-18
NDUFAF2,cnv_amp,-1.153018e-19
OR5M3,mut_important,0.0
OR5M3,cnv_del,0.0
OR5M3,cnv_amp,0.0
RCBTB1,mut_important,0.0
RCBTB1,cnv_del,0.0
RCBTB1,cnv_amp,0.0
SV2A,mut_important,5.0589602e-14
SV2A,cnv_del,0.0
SV2A,cnv_amp,-1.3409119e-12
TMEM175,mut_important,0.0
TMEM175,cnv_del,0.0
TMEM175,cnv_amp,0.0
TCTE1,mut_important,0.0
TCTE1,cnv_del,0.0
TCTE1,cnv_amp,0.0
NFKB1,mut_important,0.5035536
NFKB1,cnv_del,0.15353781
NFKB1,cnv_amp,-0.12346424
MS4A15,mut_important,0.0
MS4A15,cnv_del,0.0
MS4A15,cnv_amp,0.0
PLEKHH3,mut_important,0.0
PLEKHH3,cnv_del,0.0
PLEKHH3,cnv_amp,0.0
WFDC11,mut_important,0.0
WFDC11,cnv_del,0.0
WFDC11,cnv_amp,0.0
NME6,mut_important,0.0
NME6,cnv_del,0.0
NME6,cnv_amp,0.0
SLC39A14,mut_important,-2.2127066e-12
SLC39A14,cnv_del,-7.0711514e-10
SLC39A14,cnv_amp,-8.966315e-12
SSU72,mut_important,0.0
SSU72,cnv_del,0.0
SSU72,cnv_amp,0.0
FGL2,mut_important,0.029617168
FGL2,cnv_del,0.0
FGL2,cnv_amp,0.08754978
HOXC8,mut_important,0.0
HOXC8,cnv_del,0.0
HOXC8,cnv_amp,0.0
TRIM2,mut_important,0.0
TRIM2,cnv_del,0.0
TRIM2,cnv_amp,0.0
MET,mut_important,0.089908674
MET,cnv_del,0.02901422
MET,cnv_amp,0.042116337
SENP2,mut_important,0.0001613503
SENP2,cnv_del,-0.006598285
SENP2,cnv_amp,0.12958197
VPREB1,mut_important,0.0
VPREB1,cnv_del,0.0
VPREB1,cnv_amp,0.0
OR8B2,mut_important,0.0
OR8B2,cnv_del,0.0
OR8B2,cnv_amp,0.0
ADAM19,mut_important,-6.2679593e-23
ADAM19,cnv_del,0.0
ADAM19,cnv_amp,-4.0899324e-23
QRICH2,mut_important,0.0
QRICH2,cnv_del,0.0
QRICH2,cnv_amp,0.0
GNL3,mut_important,0.0
GNL3,cnv_del,0.0
GNL3,cnv_amp,0.0
