,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
E2F4,mut_important,0.0035195453,0.00058797264,7.779248e-06,9.155095e-05,0.0
E2F4,cnv_del,0.14102186,0.030391458,0.0022801382,0.00011384582,7.1522285e-05
E2F4,cnv_amp,3.999082e-06,8.358708e-05,7.718538e-07,9.1317406e-07,1.0692897e-06
OR9G4,mut_important,0.0,0.0,0.0,0.0,0.0
OR9G4,cnv_del,0.0,0.0,0.0,0.0,0.0
OR9G4,cnv_amp,0.0,0.0,0.0,0.0,0.0
FCER1G,mut_important,0.0,0.0,0.0,0.0,0.0
FCER1G,cnv_del,0.014190897,0.02223898,0.0068777706,0.00085403805,0.009457448
FCER1G,cnv_amp,0.15285912,0.19989087,0.25997907,6.828187e-05,0.07441065
PSMC5,mut_important,3.7914608e-05,0.013493392,0.008309736,0.0024790163,0.011123197
PSMC5,cnv_del,0.0,0.0,0.0,0.0,0.0
PSMC5,cnv_amp,0.08476632,0.26780364,0.09647385,0.997906,1.1329039
OR6C70,mut_important,0.0,0.0,0.0,0.0,0.0
OR6C70,cnv_del,0.0,0.0,0.0,0.0,0.0
OR6C70,cnv_amp,0.0,0.0,0.0,0.0,0.0
DUSP23,mut_important,0.0,0.0,0.0,0.0,0.0
DUSP23,cnv_del,0.0,0.0,0.0,0.0,0.0
DUSP23,cnv_amp,0.0,0.0,0.0,0.0,0.0
SAMM50,mut_important,0.0008425225,2.6285606e-23,7.969676e-25,6.911281e-05,0.0015172473
SAMM50,cnv_del,0.0011744996,1.0783513e-22,5.650729e-25,0.00016386574,0.002836809
SAMM50,cnv_amp,0.00012567006,1.1230374e-25,1.9429552e-25,5.2711257e-06,0.000106874024
CTSO,mut_important,0.0018468313,6.2514705e-06,8.92191e-09,5.8652927e-09,2.5115755e-06
CTSO,cnv_del,0.0006858727,1.3112005e-05,1.3000078e-08,1.8422823e-09,4.4233533e-07
CTSO,cnv_amp,0.0049856887,3.5045265e-05,3.0929945e-07,2.9022099e-08,1.5923473e-06
NSUN5,mut_important,0.0,0.0,0.0,0.0,0.0
NSUN5,cnv_del,0.0,0.0,0.0,0.0,0.0
NSUN5,cnv_amp,0.0,0.0,0.0,0.0,0.0
KBTBD2,mut_important,0.0,0.0,0.0,0.0,0.0
KBTBD2,cnv_del,0.0,0.0,0.0,0.0,0.0
KBTBD2,cnv_amp,0.0,0.0,0.0,0.0,0.0
MORF4L1,mut_important,1.1029069e-12,2.0862556e-06,5.641016e-06,4.6540665e-09,0.0
MORF4L1,cnv_del,5.1021337e-10,9.4151363e-07,3.343133e-05,1.1793383e-07,0.0020943668
MORF4L1,cnv_amp,5.277704e-16,1.7036506e-11,4.1511418e-13,0.0,3.6031203e-08
PRPF18,mut_important,0.0,0.0,0.0,0.0,0.0
PRPF18,cnv_del,0.0,0.0,0.0,0.0,0.0
PRPF18,cnv_amp,0.0,0.0,0.0,0.0,0.0
DPPA2,mut_important,0.0,0.0,0.0,0.0,0.0
DPPA2,cnv_del,0.0,0.0,0.0,0.0,0.0
DPPA2,cnv_amp,0.0,0.0,0.0,0.0,0.0
PTK2B,mut_important,0.055632688,0.02196421,0.06836703,0.00026157344,0.039987497
PTK2B,cnv_del,0.5628239,0.32635853,0.52026534,0.059486452,0.3655941
PTK2B,cnv_amp,0.0044792513,0.0006010944,1.5968321e-06,0.00020321761,0.00081873045
USF2,mut_important,0.00027723573,0.008579729,3.376089e-10,0.0008450318,0.0
USF2,cnv_del,0.0009431648,0.003626041,4.628488e-10,0.00084707316,0.002210048
USF2,cnv_amp,0.0025168967,0.08100397,8.039616e-09,0.016110763,0.019307785
NUP188,mut_important,0.4272187,0.28852215,0.29656118,0.19863404,0.36634055
NUP188,cnv_del,0.05591218,0.02154684,0.0023395952,0.019087266,0.045867644
NUP188,cnv_amp,0.5465481,0.121030234,0.55659324,0.103327475,0.51446325
KCNQ4,mut_important,1.1240798e-16,3.8697163e-08,1.5758447e-21,3.655363e-27,4.3088455e-25
KCNQ4,cnv_del,1.4233358e-16,2.9478846e-09,0.0,7.64727e-29,1.0719531e-26
KCNQ4,cnv_amp,2.4800198e-14,4.8680713e-06,1.5300391e-19,9.527685e-25,7.688001e-24
DSC1,mut_important,0.0013135812,0.04355996,0.0019814358,0.04073089,0.019085053
DSC1,cnv_del,0.018581353,0.05175858,0.0047806255,0.0155546395,0.013179778
DSC1,cnv_amp,0.006225123,0.03805732,0.0006564431,0.034813695,0.014755809
ZNRF2,mut_important,0.0008971663,0.0004589731,1.0617154e-05,3.6192043e-05,0.0062224
ZNRF2,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNRF2,cnv_amp,0.0065057455,0.042481326,0.00029126077,0.00045281823,0.22885607
KIAA1324L,mut_important,0.0,0.0,0.0,0.0,0.0
KIAA1324L,cnv_del,0.0,0.0,0.0,0.0,0.0
KIAA1324L,cnv_amp,0.0,0.0,0.0,0.0,0.0
RHOH,mut_important,0.0,0.0031972185,1.7298428e-08,0.011307557,0.012397571
RHOH,cnv_del,2.230205e-13,0.029681347,1.6439838e-06,0.016419116,0.02153317
RHOH,cnv_amp,2.1533348e-18,2.8534432e-06,1.9291317e-10,2.0251291e-05,4.4913824e-05
TNFSF12,mut_important,4.3952006e-31,0.00059753616,4.247815e-05,1.5379207e-13,1.8517115e-29
TNFSF12,cnv_del,1.2531976e-28,0.014093373,0.003009209,8.7799205e-11,7.705113e-29
TNFSF12,cnv_amp,1.9324717e-31,7.8869874e-05,3.2711605e-06,6.541264e-17,1.858988e-29
TCP11,mut_important,0.0,0.0,0.0,0.0,0.0
TCP11,cnv_del,0.0,0.0,0.0,0.0,0.0
TCP11,cnv_amp,0.0,0.0,0.0,0.0,0.0
SERPIND1,mut_important,0.04833155,0.03370694,0.049951967,0.05234552,0.0062509985
SERPIND1,cnv_del,0.06260461,0.010847795,0.05100098,0.026714114,0.06402181
SERPIND1,cnv_amp,0.013466397,0.00079918926,0.017783625,0.024595322,0.014915885
C1D,mut_important,0.0,0.0,0.0,0.0,0.0
C1D,cnv_del,3.054619e-11,4.0526092e-13,0.034340885,3.1499678e-16,5.5538624e-07
C1D,cnv_amp,5.9127946e-11,3.8645772e-15,0.004907405,1.08486504e-16,6.5337935e-07
TBC1D20,mut_important,0.0,0.0,0.0,0.0,0.0
TBC1D20,cnv_del,0.0064676707,0.008541731,2.4016263e-08,0.026632039,4.9991048e-08
TBC1D20,cnv_amp,0.0010649109,0.0020934762,1.0657597e-09,0.0029250511,4.8765294e-08
OR5AN1,mut_important,0.0,0.0,0.0,0.0,0.0
OR5AN1,cnv_del,0.0,0.0,0.0,0.0,0.0
OR5AN1,cnv_amp,0.0,0.0,0.0,0.0,0.0
CSDE1,mut_important,0.0,0.0,0.0,0.0,0.0
CSDE1,cnv_del,0.0,0.0,0.0,0.0,0.0
CSDE1,cnv_amp,0.0,0.0,0.0,0.0,0.0
RAB24,mut_important,0.0053455,0.0034424723,0.0034910399,9.863641e-10,0.0003726845
RAB24,cnv_del,0.0,0.0,0.0,0.0,0.0
RAB24,cnv_amp,0.19254686,0.15162061,0.09043326,1.6462334e-08,0.008178595
PSG8,mut_important,0.0,0.0,0.0,0.0,0.0
PSG8,cnv_del,0.0,0.0,0.0,0.0,0.0
PSG8,cnv_amp,0.0,0.0,0.0,0.0,0.0
CHUK,mut_important,0.13446163,0.005934317,0.033421982,0.04120359,0.00091130857
CHUK,cnv_del,0.859288,0.77065784,0.66410786,0.46009678,0.003391626
CHUK,cnv_amp,0.037799157,0.023629233,0.0087648025,0.043046873,0.0058736284
RAB25,mut_important,5.268691e-14,0.00010711829,0.00010407021,0.0,1.225394e-14
RAB25,cnv_del,1.5221106e-13,0.00064719137,0.0007936747,2.0686158e-15,6.643832e-14
RAB25,cnv_amp,1.2451287e-11,0.00035253834,0.00949169,4.0732998e-14,7.538483e-12
TSR1,mut_important,3.0944586e-19,0.007045608,0.00048804336,1.5909192e-12,2.4663027e-09
TSR1,cnv_del,4.403642e-19,0.0017767347,0.0072955107,6.708162e-11,2.8272737e-08
TSR1,cnv_amp,1.7475305e-21,0.00018821575,2.5717374e-05,4.031999e-13,4.4718753e-11
STX1A,mut_important,0.0031613307,0.0008966496,0.0028729038,1.08090535e-05,0.00011388453
STX1A,cnv_del,0.005566095,0.0018026119,0.00560661,1.4273755e-05,0.0
STX1A,cnv_amp,0.23773345,0.054635666,0.051568486,0.0006670671,0.005683844
TMEM38A,mut_important,0.0,0.0,0.0,0.0,0.0
TMEM38A,cnv_del,0.0,0.0,0.0,0.0,0.0
TMEM38A,cnv_amp,0.0,0.0,0.0,0.0,0.0
ALG11,mut_important,0.0,0.0,0.0,0.0,0.0
ALG11,cnv_del,0.0,0.0,0.0,0.0,0.0
ALG11,cnv_amp,0.0,0.0,0.0,0.0,0.0
PLEKHA4,mut_important,0.056767493,0.00021680078,0.012584162,0.09151017,1.0670311e-05
PLEKHA4,cnv_del,0.016739897,0.00016571784,0.0045539774,0.03589302,2.2510349e-07
PLEKHA4,cnv_amp,0.02249097,1.6285012e-05,0.001230993,0.00019515915,1.2632402e-06
MRFAP1,mut_important,0.0,0.0,0.0,0.0,0.0
