,,0,1
PSMC5,mut_important,PSMC5,mut_important
PSMC5,cnv_del,PSMC5,cnv_del
PSMC5,cnv_amp,PSMC5,cnv_amp
OR6C70,mut_important,OR6C70,mut_important
OR6C70,cnv_del,OR6C70,cnv_del
OR6C70,cnv_amp,OR6C70,cnv_amp
DUSP23,mut_important,DUSP23,mut_important
DUSP23,cnv_del,DUSP23,cnv_del
DUSP23,cnv_amp,DUSP23,cnv_amp
SAMM50,mut_important,SAMM50,mut_important
SAMM50,cnv_del,SAMM50,cnv_del
SAMM50,cnv_amp,SAMM50,cnv_amp
CTSO,mut_important,CTSO,mut_important
CTSO,cnv_del,CTSO,cnv_del
CTSO,cnv_amp,CTSO,cnv_amp
NSUN5,mut_important,NSUN5,mut_important
NSUN5,cnv_del,NSUN5,cnv_del
NSUN5,cnv_amp,NSUN5,cnv_amp
KBTBD2,mut_important,KBTBD2,mut_important
KBTBD2,cnv_del,KBTBD2,cnv_del
KBTBD2,cnv_amp,KBTBD2,cnv_amp
MORF4L1,mut_important,MORF4L1,mut_important
MORF4L1,cnv_del,MORF4L1,cnv_del
MORF4L1,cnv_amp,MORF4L1,cnv_amp
PRPF18,mut_important,PRPF18,mut_important
PRPF18,cnv_del,PRPF18,cnv_del
PRPF18,cnv_amp,PRPF18,cnv_amp
DPPA2,mut_important,DPPA2,mut_important
DPPA2,cnv_del,DPPA2,cnv_del
DPPA2,cnv_amp,DPPA2,cnv_amp
PTK2B,mut_important,PTK2B,mut_important
PTK2B,cnv_del,PTK2B,cnv_del
PTK2B,cnv_amp,PTK2B,cnv_amp
USF2,mut_important,USF2,mut_important
USF2,cnv_del,USF2,cnv_del
USF2,cnv_amp,USF2,cnv_amp
NUP188,mut_important,NUP188,mut_important
NUP188,cnv_del,NUP188,cnv_del
NUP188,cnv_amp,NUP188,cnv_amp
KCNQ4,mut_important,KCNQ4,mut_important
KCNQ4,cnv_del,KCNQ4,cnv_del
KCNQ4,cnv_amp,KCNQ4,cnv_amp
DSC1,mut_important,DSC1,mut_important
DSC1,cnv_del,DSC1,cnv_del
DSC1,cnv_amp,DSC1,cnv_amp
ZNRF2,mut_important,ZNRF2,mut_important
ZNRF2,cnv_del,ZNRF2,cnv_del
ZNRF2,cnv_amp,ZNRF2,cnv_amp
KIAA1324L,mut_important,KIAA1324L,mut_important
KIAA1324L,cnv_del,KIAA1324L,cnv_del
KIAA1324L,cnv_amp,KIAA1324L,cnv_amp
RHOH,mut_important,RHOH,mut_important
RHOH,cnv_del,RHOH,cnv_del
RHOH,cnv_amp,RHOH,cnv_amp
TNFSF12,mut_important,TNFSF12,mut_important
TNFSF12,cnv_del,TNFSF12,cnv_del
TNFSF12,cnv_amp,TNFSF12,cnv_amp
TCP11,mut_important,TCP11,mut_important
TCP11,cnv_del,TCP11,cnv_del
TCP11,cnv_amp,TCP11,cnv_amp
SERPIND1,mut_important,SERPIND1,mut_important
SERPIND1,cnv_del,SERPIND1,cnv_del
SERPIND1,cnv_amp,SERPIND1,cnv_amp
C1D,mut_important,C1D,mut_important
C1D,cnv_del,C1D,cnv_del
C1D,cnv_amp,C1D,cnv_amp
TBC1D20,mut_important,TBC1D20,mut_important
TBC1D20,cnv_del,TBC1D20,cnv_del
TBC1D20,cnv_amp,TBC1D20,cnv_amp
OR5AN1,mut_important,OR5AN1,mut_important
OR5AN1,cnv_del,OR5AN1,cnv_del
OR5AN1,cnv_amp,OR5AN1,cnv_amp
CSDE1,mut_important,CSDE1,mut_important
CSDE1,cnv_del,CSDE1,cnv_del
CSDE1,cnv_amp,CSDE1,cnv_amp
RAB24,mut_important,RAB24,mut_important
RAB24,cnv_del,RAB24,cnv_del
RAB24,cnv_amp,RAB24,cnv_amp
PSG8,mut_important,PSG8,mut_important
PSG8,cnv_del,PSG8,cnv_del
PSG8,cnv_amp,PSG8,cnv_amp
CHUK,mut_important,CHUK,mut_important
CHUK,cnv_del,CHUK,cnv_del
CHUK,cnv_amp,CHUK,cnv_amp
RAB25,mut_important,RAB25,mut_important
RAB25,cnv_del,RAB25,cnv_del
RAB25,cnv_amp,RAB25,cnv_amp
TSR1,mut_important,TSR1,mut_important
TSR1,cnv_del,TSR1,cnv_del
TSR1,cnv_amp,TSR1,cnv_amp
STX1A,mut_important,STX1A,mut_important
STX1A,cnv_del,STX1A,cnv_del
STX1A,cnv_amp,STX1A,cnv_amp
TMEM38A,mut_important,TMEM38A,mut_important
TMEM38A,cnv_del,TMEM38A,cnv_del
TMEM38A,cnv_amp,TMEM38A,cnv_amp
ALG11,mut_important,ALG11,mut_important
ALG11,cnv_del,ALG11,cnv_del
ALG11,cnv_amp,ALG11,cnv_amp
PLEKHA4,mut_important,PLEKHA4,mut_important
PLEKHA4,cnv_del,PLEKHA4,cnv_del
PLEKHA4,cnv_amp,PLEKHA4,cnv_amp
MRFAP1,mut_important,MRFAP1,mut_important
MRFAP1,cnv_del,MRFAP1,cnv_del
MRFAP1,cnv_amp,MRFAP1,cnv_amp
