,,coef
ACCS,cnv_amp,0.0
GBP1,mut_important,0.0
GBP1,cnv_del,0.0
GBP1,cnv_amp,0.0
LHFPL2,mut_important,0.0043219477
LHFPL2,cnv_del,0.118898645
LHFPL2,cnv_amp,-0.009434648
GRID2,mut_important,0.0
GRID2,cnv_del,0.0
GRID2,cnv_amp,0.0
PXMP2,mut_important,0.0
PXMP2,cnv_del,0.0
PXMP2,cnv_amp,0.0
SAMD12,mut_important,0.0
SAMD12,cnv_del,0.0
SAMD12,cnv_amp,0.0
C1GALT1,mut_important,0.0
C1GALT1,cnv_del,0.0
C1GALT1,cnv_amp,0.0
SLC2A8,mut_important,-4.7981416e-08
SLC2A8,cnv_del,1.0373662e-06
SLC2A8,cnv_amp,1.4060735e-06
TECPR1,mut_important,0.0
TECPR1,cnv_del,0.0
TECPR1,cnv_amp,0.0
GTF2E1,mut_important,-1.8125711e-06
GTF2E1,cnv_del,-7.458934e-05
GTF2E1,cnv_amp,-0.0002898395
CCDC83,mut_important,0.0
CCDC83,cnv_del,0.0
CCDC83,cnv_amp,0.0
CLEC1B,mut_important,-0.00031625043
CLEC1B,cnv_del,0.0
CLEC1B,cnv_amp,0.0
MBD3,mut_important,-9.057474e-06
MBD3,cnv_del,0.0
MBD3,cnv_amp,0.0
TRIM16,mut_important,0.0
TRIM16,cnv_del,0.0
TRIM16,cnv_amp,0.0
SLC44A2,mut_important,-1.5254831e-07
SLC44A2,cnv_del,0.0
SLC44A2,cnv_amp,0.0
RAVER2,mut_important,0.0
RAVER2,cnv_del,0.0
RAVER2,cnv_amp,0.0
GABRR3,mut_important,0.0
GABRR3,cnv_del,-1.24066055e-08
GABRR3,cnv_amp,2.332549e-06
NFXL1,mut_important,0.0
NFXL1,cnv_del,0.0
NFXL1,cnv_amp,0.0
BAK1,mut_important,0.0
BAK1,cnv_del,-7.624315e-15
BAK1,cnv_amp,-1.4769581e-15
COQ5,mut_important,1.2712351e-15
COQ5,cnv_del,0.0
COQ5,cnv_amp,0.0
SEMA4C,mut_important,0.0
SEMA4C,cnv_del,0.0
SEMA4C,cnv_amp,0.0
VPS26B,mut_important,0.0
VPS26B,cnv_del,0.0
VPS26B,cnv_amp,0.0
ABCC1,mut_important,-1.9659149e-07
ABCC1,cnv_del,0.0
ABCC1,cnv_amp,0.0
NXN,mut_important,0.0
NXN,cnv_del,0.0
NXN,cnv_amp,0.0
SFT2D2,mut_important,0.0
SFT2D2,cnv_del,0.0
SFT2D2,cnv_amp,0.0
PIK3IP1,mut_important,0.0
PIK3IP1,cnv_del,0.0
PIK3IP1,cnv_amp,0.0
PTPN6,mut_important,-0.00036573957
PTPN6,cnv_del,0.0
PTPN6,cnv_amp,0.0
PLEKHM1,mut_important,0.0
PLEKHM1,cnv_del,0.0
PLEKHM1,cnv_amp,0.0
SLC1A4,mut_important,1.4910279e-18
SLC1A4,cnv_del,6.7205104e-18
SLC1A4,cnv_amp,1.7839967e-16
UBQLN2,mut_important,-3.07853e-11
UBQLN2,cnv_del,0.0
UBQLN2,cnv_amp,0.0
APOBEC3G,mut_important,2.498601e-12
APOBEC3G,cnv_del,0.0
APOBEC3G,cnv_amp,0.0
PCGF5,mut_important,3.844436e-05
PCGF5,cnv_del,-0.0057418114
PCGF5,cnv_amp,-0.005202124
OR8B2,mut_important,0.0
OR8B2,cnv_del,0.0
OR8B2,cnv_amp,0.0
OR5H14,mut_important,-0.0014521009
OR5H14,cnv_del,-0.00064056343
OR5H14,cnv_amp,0.020971423
OR13C9,mut_important,0.10528233
OR13C9,cnv_del,-0.02699446
OR13C9,cnv_amp,-0.05255523
TDRD9,mut_important,-3.5727483e-09
TDRD9,cnv_del,0.0
TDRD9,cnv_amp,0.0
ZNF283,mut_important,0.0
ZNF283,cnv_del,0.0
ZNF283,cnv_amp,0.0
COL6A1,mut_important,3.9482693e-08
COL6A1,cnv_del,0.0
COL6A1,cnv_amp,0.0
SETDB1,mut_important,0.6088157
SETDB1,cnv_del,0.002839477
SETDB1,cnv_amp,0.8872142
IMMP1L,mut_important,0.0
IMMP1L,cnv_del,0.0
IMMP1L,cnv_amp,0.0
RIOK3,mut_important,-6.20788e-16
RIOK3,cnv_del,0.0
RIOK3,cnv_amp,0.0
ERCC4,mut_important,0.0
ERCC4,cnv_del,9.803422e-13
ERCC4,cnv_amp,0.0
BBX,mut_important,0.0
BBX,cnv_del,0.0
BBX,cnv_amp,0.0
RARG,mut_important,0.00865077
RARG,cnv_del,0.0
RARG,cnv_amp,0.0
STATH,mut_important,0.0
STATH,cnv_del,0.0
STATH,cnv_amp,0.0
CSF1,mut_important,2.559461e-13
CSF1,cnv_del,4.997427e-11
CSF1,cnv_amp,-1.4928347e-10
MRPL44,mut_important,0.0
MRPL44,cnv_del,-1.4195128e-05
MRPL44,cnv_amp,-7.833534e-06
PEX19,mut_important,0.0
PEX19,cnv_del,2.7169909e-17
PEX19,cnv_amp,-1.4964175e-15
ZER1,mut_important,0.0
ZER1,cnv_del,0.0
ZER1,cnv_amp,0.0
SPSB4,mut_important,-0.009112048
SPSB4,cnv_del,0.09773667
SPSB4,cnv_amp,0.15630297
CNTNAP1,mut_important,-4.657589e-22
CNTNAP1,cnv_del,0.0
CNTNAP1,cnv_amp,0.0
EFTUD2,mut_important,2.928863e-07
EFTUD2,cnv_del,0.0
EFTUD2,cnv_amp,0.0
ACAP3,mut_important,0.0
ACAP3,cnv_del,0.0
ACAP3,cnv_amp,0.0
DOCK3,mut_important,0.0012077022
DOCK3,cnv_del,-0.00014418953
DOCK3,cnv_amp,0.00029496092
PDSS1,mut_important,-5.7423176e-12
PDSS1,cnv_del,-4.0592985e-12
PDSS1,cnv_amp,-2.3006885e-11
VHL,mut_important,-0.022389838
VHL,cnv_del,-0.0713106
VHL,cnv_amp,0.0
ARTN,mut_important,0.0
ARTN,cnv_del,8.230579e-07
ARTN,cnv_amp,5.7965295e-05
CCDC66,mut_important,0.0
CCDC66,cnv_del,0.0
CCDC66,cnv_amp,0.0
KLHDC8B,mut_important,0.0
KLHDC8B,cnv_del,0.0
KLHDC8B,cnv_amp,0.0
PHAX,mut_important,-0.00073851476
PHAX,cnv_del,0.1515278
PHAX,cnv_amp,-0.03859899
COBL,mut_important,0.0
COBL,cnv_del,0.0
COBL,cnv_amp,0.0
TBC1D9B,mut_important,0.0
TBC1D9B,cnv_del,0.0
TBC1D9B,cnv_amp,0.0
STX1B,mut_important,2.2340742e-17
STX1B,cnv_del,0.0
STX1B,cnv_amp,0.0
CYP4F3,mut_important,0.0
CYP4F3,cnv_del,0.0
CYP4F3,cnv_amp,0.0
MRPS18B,mut_important,0.0141219115
MRPS18B,cnv_del,0.010810163
MRPS18B,cnv_amp,-0.2266848
RAB5C,mut_important,-0.002786343
RAB5C,cnv_del,0.0
RAB5C,cnv_amp,0.0
SEC14L4,mut_important,0.0
SEC14L4,cnv_del,0.0
SEC14L4,cnv_amp,0.0
SIRT7,mut_important,0.0
SIRT7,cnv_del,0.0
SIRT7,cnv_amp,0.0
JAG2,mut_important,0.042836934
JAG2,cnv_del,0.0
JAG2,cnv_amp,0.0
CNN3,mut_important,0.0
CNN3,cnv_del,0.0
CNN3,cnv_amp,0.0
MAGEA10,mut_important,0.0
MAGEA10,cnv_del,0.0
MAGEA10,cnv_amp,0.0
FAM49B,mut_important,0.0150164105
