,,decision_tree_fold_0,decision_tree_fold_1,decision_tree_fold_2,decision_tree_fold_3,decision_tree_fold_4
COMMD10,cnv_del,0.0,0.0,0.0,0.0,0.0
COMMD10,cnv_amp,0.0,0.0,0.0,0.0,0.0
SNX25,mut_important,0.0,0.0,0.0,0.0,0.0
SNX25,cnv_del,0.0,0.0,0.0,0.0,0.0
SNX25,cnv_amp,0.0,0.0,0.0,0.0,0.0
RCCD1,mut_important,0.0,0.0,0.0,0.0,0.0
RCCD1,cnv_del,0.0,0.0,0.0,0.0,0.0
RCCD1,cnv_amp,0.0,0.0,0.0,0.0,0.0
UNC5CL,mut_important,0.0,0.0,0.0,0.0,0.0
UNC5CL,cnv_del,0.0,0.0,0.0,0.0,0.0
UNC5CL,cnv_amp,0.0,0.0,0.0,0.0,0.0
PDCD11,mut_important,0.0,0.0,0.0,0.0,0.0
PDCD11,cnv_del,0.0,0.0,0.0,0.0,0.0
PDCD11,cnv_amp,0.0,0.0,0.0,0.0,0.0
SIDT1,mut_important,0.0,0.0,0.0,0.0,0.0
SIDT1,cnv_del,0.0,0.0,0.0,0.0,0.0
SIDT1,cnv_amp,0.0,0.0,0.0,0.0,0.0
RAB43,mut_important,0.0,0.0,0.0,0.0,0.0
RAB43,cnv_del,0.0,0.0,0.0,0.0,0.0
RAB43,cnv_amp,0.0,0.0,0.0,0.0,0.0
EIF2A,mut_important,0.0,0.0,0.0,0.0,0.0
EIF2A,cnv_del,0.0,0.0,0.0,0.0,0.0
EIF2A,cnv_amp,0.0,0.0,0.0,0.0,0.0
OR6X1,mut_important,0.0,0.0,0.0,0.0,0.0
OR6X1,cnv_del,0.0,0.0,0.0,0.0,0.0
OR6X1,cnv_amp,0.0,0.0,0.0,0.0,0.0
SLC39A9,mut_important,0.0,0.0,0.0,0.0,0.0
SLC39A9,cnv_del,0.0,0.0,0.0,0.0,0.0
SLC39A9,cnv_amp,0.0,0.0,0.0,0.0,0.0
CCR4,mut_important,0.0,0.0,0.0,0.0,0.0
CCR4,cnv_del,0.0,0.0,0.0,0.0,0.0
CCR4,cnv_amp,0.0,0.0,0.0,0.0,0.0
CD101,mut_important,0.0,0.0,0.0,0.0,0.0
CD101,cnv_del,0.0,0.0,0.0,0.0,0.0
CD101,cnv_amp,0.0,0.0,0.0,0.0,0.0
APOBEC3F,mut_important,0.0,0.0,0.0,0.0,0.0
APOBEC3F,cnv_del,0.0,0.0,0.0,0.0,0.0
APOBEC3F,cnv_amp,0.0,0.0,0.0,0.0,0.0
RAG2,mut_important,0.0,0.0,0.0,0.0,0.0
RAG2,cnv_del,0.0,0.0,0.0,0.0,0.0
RAG2,cnv_amp,0.0,0.0,0.0,0.0,0.0
KCTD6,mut_important,0.0,0.0,0.0,0.0,0.0
KCTD6,cnv_del,0.0,0.0,0.0,0.0,0.0
KCTD6,cnv_amp,0.0,0.0,0.0,0.0,0.0
KAT2A,mut_important,0.0,0.0,0.0,0.0,0.0
KAT2A,cnv_del,0.0,0.0,0.0,0.0,0.0
KAT2A,cnv_amp,0.0,0.0,0.0,0.0,0.0
FZR1,mut_important,0.0,0.0,0.0,0.0,0.0
FZR1,cnv_del,0.0,0.0,0.0,0.0,0.0
FZR1,cnv_amp,0.0,0.0,0.0,0.0,0.0
PEX6,mut_important,0.0,0.0,0.0,0.0,0.0
PEX6,cnv_del,0.0,0.0,0.0,0.0,0.0
PEX6,cnv_amp,0.0,0.0,0.0,0.0,0.0
TBX19,mut_important,0.0,0.0,0.0,0.0,0.0
TBX19,cnv_del,0.0,0.0,0.0,0.0,0.0
TBX19,cnv_amp,0.0,0.0,0.0,0.0,0.0
SORL1,mut_important,0.0,0.0,0.0,0.0,0.0
SORL1,cnv_del,0.0,0.0,0.0,0.0,0.0
SORL1,cnv_amp,0.0,0.0,0.0,0.0,0.0
ROCK1,mut_important,0.0,0.0,0.0,0.0,0.0
ROCK1,cnv_del,0.0,0.0,0.0,0.0,0.0
ROCK1,cnv_amp,0.0,0.0,0.0,0.0,0.0
KLHDC1,mut_important,0.0,0.0,0.0,0.0,0.0
KLHDC1,cnv_del,0.0,0.0,0.0,0.0,0.0
KLHDC1,cnv_amp,0.0,0.0,0.0,0.0,0.0
