GSEA,Program
0.103802904,5.717026851925768e-12
-0.20389348,5.7010840492921476e-12
-0.16110826,5.640293093689407e-12
-0.42728069999999996,5.639423129866206e-12
0.3339173,5.627320831536054e-12
0.09902522,5.603667529996414e-12
0.16630402,5.59330359806154e-12
-0.148126,5.549621873157662e-12
-0.25013420000000003,5.499087296634286e-12
0.00600129,5.478161761024447e-12
0.04047635,5.471001429668832e-12
0.0422213,5.439915184979327e-12
-0.12874126,5.427011617875622e-12
-0.31667080000000003,5.402900349338324e-12
-0.42350176,5.3844040337480685e-12
-0.084023066,5.371011968513528e-12
-0.6402619,5.3695714541390774e-12
0.06140624,5.351319387614241e-12
0.22971475,5.331600785862811e-12
-0.09627823,5.326405982941651e-12
-0.29090732,5.308015138538735e-12
-0.11832835,5.2948895268301036e-12
-0.29861662,5.2685633633586796e-12
-0.16148531,5.230305077930098e-12
-0.3235671,5.229353061686482e-12
-0.16064113,5.2274851114475496e-12
-0.11921421,5.2253312787797774e-12
-0.041602083,5.225242460937807e-12
-0.017467491,5.221150595202673e-12
0.00034700000000000003,5.2174264908444474e-12
0.25689864,5.175637696197555e-12
-0.032523446,5.163158802953295e-12
0.6021843000000001,5.1596060757219665e-12
0.10233901,5.118911544643721e-12
-0.09714752,5.081601806011804e-12
-0.32052487,4.99686227521689e-12
-0.27340403,4.980926782138794e-12
0.13011661,4.96438445907188e-12
-0.18499467,4.931104309602309e-12
0.18290518,4.86919393694052e-12
0.22671655,4.863576208435915e-12
0.68051696,4.823164090339559e-12
-0.01777769,4.796341102064616e-12
-0.1364948,4.763789362982607e-12
-0.11081686,4.757794158649631e-12
-0.2234272,4.737632508522439e-12
-0.08764964,4.6879167214797235e-12
0.18890037,4.587530355593117e-12
0.029358203,4.587416904677789e-12
0.36347386,4.5716319618804844e-12
-0.17422508,4.5206505205896976e-12
0.30321738,4.4645176444646514e-12
0.07944174,4.411582210650521e-12
-0.17910410000000002,4.408262643806894e-12
0.1367524,4.3451020559359665e-12
-0.047678526,4.288583030365167e-12
-0.11818686,4.272693310269915e-12
-0.25333979999999995,4.264677500032122e-12
0.13035297,4.2476244743738786e-12
-0.003786274,4.23405754901296e-12
-0.13116467,4.214584237161033e-12
-0.13382071,4.196865077688017e-12
0.0029774000000000003,4.188294155937912e-12
-0.35633862,4.1760463143081236e-12
0.05291887,4.1523673388610385e-12
-0.16662613,4.1315086768412e-12
0.15733525,4.122504421166795e-12
-0.22793539,4.120437324672821e-12
